"","b/se","b/se","b/se","b/se"
"F_FH_10","-0.064497","-0.130754","0.956902","-0.202414"
"","0.698115","0.143129","1.872070","0.235022"
"F_FH_9","-0.022609","0.017082","1.203030","0.080216"
"","0.592524","0.143671","1.796279","0.249257"
"F_FH_8","0.259240","0.008505","3.109188","0.063426"
"","0.567003","0.147291","2.456669","0.262112"
"F_FH_7","0.270334","-0.022508","1.931937","0.005151"
"","0.560291","0.153632","1.928889","0.255858"
"F_FH_6","0.572797","0.130501","1.738222","0.111051"
"","0.438574","0.116904","1.662876","0.205631"
"F_FH_5","0.577630","0.105485","2.072014","0.183852"
"","0.370234","0.112883","1.344445","0.188071"
"F_FH_4","0.444933","0.043820","2.061574","0.051981"
"","0.336692","0.102413","1.313472","0.173930"
"F_FH_3","0.310162","0.054471","1.016482","0.038237"
"","0.308943","0.103560","1.169002","0.183543"
"F_FH_2","0.184705","0.025454","1.322163","0.079265"
"","0.236499","0.078289","0.825823","0.134885"
"F_FH_1","0.000000","0.000000","0.000000","0.000000"
"",".",".",".","."
"L_FH_0","0.105259","-0.016031","0.302687","-0.113822"
"","0.219121","0.084161","0.966145","0.139932"
"L_FH_1","0.685848","0.110876","1.703104","0.039980"
"","0.317055","0.092116","1.097521","0.151421"
"L_FH_2","0.931194","0.254144","2.444089","0.288583"
"","0.353087","0.096646","1.043144","0.154904"
"L_FH_3","0.852733","0.154035","1.869207","0.033842"
"","0.455430","0.108220","1.348296","0.160343"
"L_FH_4","0.902579","0.323582","2.590939","0.410862"
"","0.483980","0.092415","1.226093","0.142340"
"L_FH_5","1.317311","0.276635","2.581800","0.335487"
"","0.890748","0.122460","1.534645","0.189898"
"L_FH_6","1.303795","0.311164","1.953377","0.215683"
"","0.613807","0.126764","1.506334","0.183729"
"L_FH_7","1.184789","0.306605","2.714890","0.284314"
"","0.693827","0.143182","2.301648","0.222559"
"L_FH_8","1.779700","0.466435","4.157550","0.523246"
"","0.734941","0.138469","1.955355","0.208045"
"L_FH_9","2.371411","0.497281","5.431856","0.481891"
"","1.135801","0.164847","3.100895","0.243418"
"L_FH_10","1.501831","0.386178","2.921341","0.360045"
"","1.017079","0.141800","2.112873","0.177362"
"N","","","",""
"lincom1_estimate",".2532696",".0232057","1.541151",".0410765"
"lincom1_p",".4594625",".7709788",".1710784",".7599536"
"lincom2_estimate","1.176041",".2791732","2.60644",".2600101"
"lincom2_p",".0114999",".0006027",".0171169",".02073"
"ktest_p",".6447174",".6931924",".7778798",".8506023"
