"","b/se","b/se","b/se","b/se"
"F_FH_10","-0.007960","-0.091730","1.167621","-0.227031"
"","0.765934","0.117267","2.161320","0.204121"
"F_FH_9","-0.029357","0.060807","2.265633","0.111963"
"","0.671677","0.130058","2.226181","0.229615"
"F_FH_8","0.221155","-0.069981","2.877930","-0.221601"
"","0.656126","0.145196","2.769526","0.250706"
"F_FH_7","0.544017","-0.021610","2.081609","-0.138360"
"","0.626081","0.143598","2.215650","0.247052"
"F_FH_6","0.813642","0.102448","2.425824","0.089779"
"","0.531070","0.141235","2.131391","0.241523"
"F_FH_5","1.090303","0.257423","3.321126","0.390196"
"","0.423994","0.107375","1.388640","0.178507"
"F_FH_4","0.450543","0.017347","2.145474","0.033956"
"","0.406180","0.104488","1.428785","0.188477"
"F_FH_3","0.164369","-0.003356","0.829138","0.056450"
"","0.374635","0.102815","1.457517","0.183326"
"F_FH_2","0.298133","0.001434","1.344613","-0.014945"
"","0.324746","0.086120","1.159022","0.149070"
"F_FH_1","0.000000","0.000000","0.000000","0.000000"
"",".",".",".","."
"L_FH_0","0.415719","0.077633","0.787535","0.080466"
"","0.285301","0.086468","1.266152","0.149003"
"L_FH_1","0.926682","0.099516","1.694381","0.025169"
"","0.435943","0.091752","1.315414","0.160284"
"L_FH_2","0.910356","0.131575","1.913350","0.130031"
"","0.445893","0.090573","1.375536","0.153954"
"L_FH_3","0.378481","-0.068627","-0.158576","-0.323614"
"","0.466792","0.091000","1.578746","0.159662"
"L_FH_4","0.544383","0.135664","1.452855","0.168710"
"","0.503467","0.086002","1.407402","0.146532"
"L_FH_5","1.333555","0.172571","1.990842","0.103964"
"","0.826313","0.111135","1.692279","0.190827"
"L_FH_6","1.074720","0.161413","1.242472","0.112005"
"","0.572574","0.104605","1.502900","0.162720"
"L_FH_7","1.732564","0.297745","3.616563","0.318481"
"","0.725090","0.124674","2.246220","0.203677"
"L_FH_8","2.109102","0.385234","4.179202","0.406799"
"","0.742330","0.115212","1.899587","0.203492"
"L_FH_9","3.030744","0.495122","7.480842","0.583084"
"","1.195968","0.141308","3.105220","0.233674"
"L_FH_10","1.788707","0.272138","2.993602","0.186288"
"","1.050075","0.128177","2.110622","0.192245"
"N","","","",""
"lincom1_estimate",".3544847",".0252782","1.845897",".0080406"
"lincom1_p",".3302621",".7173048",".1720832",".9473923"
"lincom2_estimate","1.295001",".1963621","2.472097",".162853"
"lincom2_p",".0053118",".0042249",".022143",".1427642"
"ktest_p",".2283621",".1910473",".2890572",".1706033"
