"","b/se","b/se","b/se","b/se"
"F_FH_10","0.414792","-0.102288","1.905431","-0.261519"
"","0.779048","0.152442","2.110990","0.236719"
"F_FH_9","0.273246","-0.035421","1.663152","-0.099109"
"","0.712355","0.167090","2.202943","0.277884"
"F_FH_8","0.850470","0.050442","5.123331","0.107932"
"","0.661569","0.179720","3.180794","0.312699"
"F_FH_7","0.701709","-0.012594","2.999223","-0.030141"
"","0.663099","0.188221","2.378986","0.311025"
"F_FH_6","0.874310","0.114802","2.191490","-0.006489"
"","0.530038","0.149401","2.185894","0.255732"
"F_FH_5","0.852003","0.120043","2.702653","0.180832"
"","0.430365","0.136333","1.674235","0.221920"
"F_FH_4","0.635470","0.003881","2.317079","-0.069905"
"","0.415804","0.128269","1.664256","0.212086"
"F_FH_3","0.536128","0.048604","1.417372","-0.022577"
"","0.376835","0.126190","1.474308","0.219909"
"F_FH_2","0.238007","-0.027301","1.332772","-0.058633"
"","0.312343","0.105664","1.088179","0.172662"
"F_FH_1","0.000000","0.000000","0.000000","0.000000"
"",".",".",".","."
"L_FH_0","0.190103","-0.037874","0.452270","-0.196900"
"","0.292584","0.109241","1.291605","0.179284"
"L_FH_1","0.863981","0.127007","2.418508","0.033520"
"","0.378302","0.114302","1.371870","0.188807"
"L_FH_2","1.037086","0.225057","2.853936","0.155464"
"","0.414777","0.119583","1.340009","0.188066"
"L_FH_3","0.913808","0.132481","2.173200","-0.018264"
"","0.526521","0.121053","1.600080","0.181977"
"L_FH_4","1.060476","0.363611","3.223564","0.419950"
"","0.592786","0.109043","1.541760","0.169804"
"L_FH_5","1.342406","0.268256","3.115381","0.319562"
"","0.945435","0.139772","1.837734","0.224370"
"L_FH_6","1.635295","0.338357","2.990183","0.205122"
"","0.683292","0.140114","1.944851","0.211091"
"L_FH_7","1.216029","0.261413","2.663712","0.145783"
"","0.835289","0.166754","2.910980","0.257889"
"L_FH_8","1.849726","0.424604","4.150482","0.402266"
"","0.882738","0.164377","2.424919","0.239859"
"L_FH_9","2.698320","0.489361","6.386613","0.360930"
"","1.315351","0.194554","3.734917","0.278145"
"L_FH_10","1.560004","0.352715","3.685054","0.294357"
"","1.164980","0.166109","2.492252","0.202175"
"N","","","",""
"lincom1_estimate",".5376134",".0160169","2.16525","-.0259611"
"lincom1_p",".1747766",".8605913",".1123643",".861452"
"lincom2_estimate","1.306112",".2677262","3.101173",".19289"
"lincom2_p",".0105976",".0054837",".0186054",".1582658"
"ktest_p",".6062328",".8954036",".84446",".8983785"
