"","b/se","b/se","b/se","b/se"
"F_D_10","-0.452828","-0.118520","-0.051660","-0.006683"
"","0.600112","0.125479","2.354452","0.186844"
"F_D_9","-0.342517","-0.135463","0.539507","-0.043230"
"","0.528974","0.142030","1.934143","0.223756"
"F_D_8","-0.271300","-0.088805","0.655140","0.089082"
"","0.440817","0.134670","2.026151","0.219599"
"F_D_7","0.035064","-0.089315","1.101667","-0.015686"
"","0.399592","0.127671","1.654559","0.211674"
"F_D_6","0.211211","-0.035006","1.417592","0.015158"
"","0.440784","0.131558","1.945239","0.203117"
"F_D_5","0.412762","-0.004989","1.751521","0.027583"
"","0.335483","0.113145","1.272757","0.185838"
"F_D_4","0.118511","-0.114918","0.649186","-0.127901"
"","0.425111","0.115659","1.707240","0.189518"
"F_D_3","0.412599","0.062818","1.762808","0.153682"
"","0.335720","0.114606","1.377828","0.194550"
"F_D_2","0.034209","-0.044855","0.328121","-0.011056"
"","0.282013","0.091420","1.112511","0.158255"
"F_D_1","0.000000","0.000000","0.000000","0.000000"
"",".",".",".","."
"L_D_0","-0.052010","-0.097850","-0.723250","-0.158761"
"","0.256937","0.088977","1.127665","0.155019"
"L_D_1","0.453755","0.038653","0.100571","0.023403"
"","0.339314","0.092895","1.084271","0.157612"
"L_D_2","0.627244","0.110084","1.081442","0.134007"
"","0.406247","0.107834","1.481158","0.166930"
"L_D_3","0.839395","0.086260","1.315553","0.097557"
"","0.423882","0.104235","1.214512","0.172287"
"L_D_4","0.969538","0.232853","2.273716","0.340967"
"","0.477618","0.122344","1.457867","0.195796"
"L_D_5","1.573831","0.108487","1.466234","0.002602"
"","1.038178","0.157164","1.967086","0.249634"
"L_D_6","1.398831","0.336015","1.889503","0.341293"
"","0.581278","0.133523","1.209038","0.202245"
"L_D_7","0.956414","0.173708","0.600142","0.186377"
"","0.659164","0.166595","1.348543","0.239009"
"L_D_8","1.979746","0.464285","4.076570","0.625570"
"","0.700170","0.175274","1.605129","0.257198"
"L_D_9","1.476416","0.455815","3.503340","0.568152"
"","0.437165","0.144031","1.512163","0.252385"
"L_D_10","2.079985","0.407201","3.584320","0.380875"
"","0.658033","0.147793","1.449912","0.234427"
"N","","","",""
"lincom1_estimate",".015771","-.0569052",".8153881",".0080949"
"lincom1_p",".957023",".4567609",".4957805",".947861"
"lincom2_estimate","1.118468",".210501","1.742558",".2310948"
"lincom2_p",".0011276",".0083929",".0331796",".066337"
"ktest_p",".5668196",".9260142",".9100143",".9743798"
