"","b/se","b/se","b/se","b/se"
"F_FH_10","0.386338","-0.054594","1.998153","-0.132699"
"","0.593031","0.148477","1.743999","0.242109"
"F_FH_9","0.169524","-0.008681","1.750579","0.004776"
"","0.528478","0.149265","1.689165","0.250638"
"F_FH_8","0.407872","0.001891","3.051381","-0.021716"
"","0.531964","0.162518","2.280066","0.284309"
"F_FH_7","0.496103","-0.010203","2.328374","-0.023969"
"","0.494324","0.150657","1.701195","0.259426"
"F_FH_6","0.601990","0.110048","1.720570","0.066374"
"","0.400843","0.117973","1.445040","0.208202"
"F_FH_5","0.440510","0.036733","2.054567","0.079316"
"","0.356448","0.119264","1.298299","0.203109"
"F_FH_4","0.496437","0.043816","2.264362","0.072054"
"","0.326290","0.097332","1.172224","0.174872"
"F_FH_3","0.374487","0.053093","1.355778","0.055647"
"","0.285000","0.096637","1.018199","0.179402"
"F_FH_2","0.096111","-0.029737","0.955845","-0.015604"
"","0.212368","0.077460","0.783438","0.134544"
"F_FH_1","0.000000","0.000000","0.000000","0.000000"
"",".",".",".","."
"L_FH_0","0.102957","-0.034440","0.302545","-0.146436"
"","0.195228","0.082888","0.857997","0.141771"
"L_FH_1","0.655683","0.119604","2.131812","0.119113"
"","0.298812","0.097027","1.078450","0.159462"
"L_FH_2","0.848572","0.220964","2.039574","0.220800"
"","0.264048","0.095569","0.870061","0.156906"
"L_FH_3","0.938266","0.155038","2.534782","0.070377"
"","0.360171","0.102989","1.138034","0.157873"
"L_FH_4","1.033602","0.328217","3.019926","0.415081"
"","0.324373","0.089456","1.035743","0.152067"
"L_FH_5","1.183037","0.283655","3.091933","0.320080"
"","0.468322","0.125112","1.320485","0.198728"
"L_FH_6","1.164161","0.320479","2.039021","0.277426"
"","0.454542","0.127222","1.396804","0.197041"
"L_FH_7","1.322448","0.349001","3.214335","0.433639"
"","0.641325","0.148661","2.259653","0.228280"
"L_FH_8","1.517450","0.394892","3.251016","0.440430"
"","0.675423","0.156792","1.822187","0.239310"
"L_FH_9","2.040770","0.425650","4.638402","0.402622"
"","1.061531","0.169874","2.977216","0.258889"
"L_FH_10","1.406784","0.384390","2.847518","0.381534"
"","0.803648","0.139624","1.936193","0.182552"
"N","","","",""
"lincom1_estimate",".3469372",".0142367","1.747961",".0084178"
"lincom1_p",".2743654",".8673223",".0890387",".9528702"
"lincom2_estimate","1.110339",".2679501","2.646442",".2667878"
"lincom2_p",".0029161",".0015897",".0078726",".0262078"
"ktest_p",".7926278",".9659877",".8649388",".9965851"
