"","b/se","b/se","b/se","b/se"
"F_FH_10","-0.328674","-0.132542","0.145723","-0.205270"
"","0.885149","0.134443","1.386689","0.179787"
"F_FH_9","-0.388672","-0.026044","0.415335","-0.030725"
"","0.760767","0.126043","1.321163","0.196621"
"F_FH_8","0.267645","0.060727","2.332857","0.045555"
"","0.643065","0.132605","1.707954","0.207589"
"F_FH_7","-0.116901","-0.054176","0.650052","-0.130854"
"","0.607076","0.124055","1.356122","0.199276"
"F_FH_6","-0.134004","0.020549","0.606346","-0.031477"
"","0.623367","0.102358","1.150122","0.158913"
"F_FH_5","0.028870","-0.001131","0.963032","0.053870"
"","0.453787","0.097959","0.944601","0.146412"
"F_FH_4","-0.093221","-0.042269","1.090658","0.003376"
"","0.373628","0.080611","0.897658","0.125513"
"F_FH_3","-0.136520","-0.010567","0.194020","-0.052943"
"","0.363929","0.080549","0.798927","0.134865"
"F_FH_2","0.037324","-0.016034","0.836059","0.013145"
"","0.247773","0.061586","0.591318","0.101232"
"F_FH_1","0.000000","0.000000","0.000000","0.000000"
"",".",".",".","."
"L_FH_0","0.195000","-0.032340","-0.060583","-0.109787"
"","0.258925","0.065855","0.674799","0.103640"
"L_FH_1","0.782092","0.038909","0.906766","-0.025308"
"","0.396170","0.076443","0.787871","0.115799"
"L_FH_2","0.822861","0.082691","0.793189","0.085315"
"","0.509237","0.081453","0.793058","0.121276"
"L_FH_3","0.817023","0.014504","0.492792","-0.057652"
"","0.575648","0.091675","0.973741","0.123436"
"L_FH_4","1.173353","0.227594","1.657485","0.286506"
"","0.703205","0.080895","0.965702","0.115943"
"L_FH_5","1.314636","0.118192","1.072645","0.125457"
"","0.919844","0.099348","1.147232","0.142108"
"L_FH_6","2.156080","0.230798","1.924253","0.153025"
"","0.870283","0.107085","1.171779","0.145504"
"L_FH_7","1.139929","0.170939","1.707521","0.187015"
"","0.789130","0.116227","1.704915","0.171127"
"L_FH_8","1.625358","0.337754","2.814495","0.410193"
"","0.838090","0.110394","1.474419","0.164008"
"L_FH_9","2.125102","0.373939","4.489710","0.418065"
"","1.077165","0.132274","2.238626","0.188753"
"L_FH_10","2.977381","0.311767","2.924468","0.337204"
"","1.900434","0.125555","1.857027","0.144160"
"N","","","",""
"lincom1_estimate","-.0864153","-.0201488",".7234082","-.0335323"
"lincom1_p",".8126097",".7735208",".3612309",".7536385"
"lincom2_estimate","1.375347",".1704316","1.702067",".1645484"
"lincom2_p",".0249909",".0129907",".0371634",".0626383"
"ktest_p",".9966936",".9274223",".8211738",".923527"
