"","b/se","b/se","b/se","b/se","b/se","b/se"
"F_FH_10","-0.137384","0.027589","-0.216702","0.152205","-0.101420","0.036923"
"","0.575614","0.152521","0.483074","0.295781","0.675818","0.051077"
"F_FH_9","0.060850","0.015971","-0.313303","0.290695","-0.075369","0.052761"
"","0.485430","0.137083","0.425541","0.277381","0.581210","0.038936"
"F_FH_8","0.194453","0.154226","0.089296","0.169943","0.211296","0.047943"
"","0.486384","0.139234","0.389557","0.293267","0.557282","0.053243"
"F_FH_7","0.287627","0.087921","0.065518","0.204816","0.240005","0.030330"
"","0.454498","0.147854","0.383492","0.266972","0.553371","0.036485"
"F_FH_6","0.381019","0.128748","0.389447","0.183350","0.556019","0.016779"
"","0.351671","0.137317","0.289833","0.252388","0.429340","0.034922"
"F_FH_5","0.305051","0.194848","0.383145","0.194485","0.553966","0.023664"
"","0.304716","0.103272","0.269043","0.224484","0.367171","0.032957"
"F_FH_4","0.292167","0.076597","0.235868","0.209064","0.441037","0.003896"
"","0.267638","0.090756","0.225465","0.184632","0.333937","0.021751"
"F_FH_3","0.255849","0.081672","0.111246","0.198915","0.310105","0.000056"
"","0.247374","0.105338","0.218818","0.174499","0.306523","0.027206"
"F_FH_2","0.052776","0.108313","0.071382","0.113323","0.201561","-0.016856"
"","0.183787","0.075232","0.189192","0.134496","0.234155","0.019562"
"F_FH_1","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"",".",".",".",".",".","."
"L_FH_0","0.156984","-0.026337","0.000372","0.104886","0.072814","0.032445"
"","0.179652","0.073562","0.155128","0.136988","0.219729","0.027568"
"L_FH_1","0.502224","0.112109","0.509166","0.176682","0.659285","0.026563"
"","0.229782","0.115113","0.223820","0.187300","0.316978","0.027136"
"L_FH_2","0.737417","0.040565","0.602572","0.328622","0.946613","-0.015419"
"","0.275817","0.114664","0.283495","0.178459","0.348203","0.028539"
"L_FH_3","0.585031","0.168561","0.568805","0.283928","0.815765","0.036968"
"","0.364359","0.132212","0.314149","0.238039","0.442564","0.040274"
"L_FH_4","0.916447","0.035192","0.617073","0.285506","0.955162","-0.052583"
"","0.409356","0.121500","0.406720","0.180656","0.467442","0.041567"
"L_FH_5","0.865374","0.258083","0.904149","0.413162","1.389497","-0.072185"
"","0.617849","0.232429","0.622648","0.316954","0.868653","0.048998"
"L_FH_6","1.074081","0.051620","0.767991","0.535804","1.216443","0.087351"
"","0.485381","0.136449","0.398528","0.278937","0.593174","0.073648"
"L_FH_7","0.956970","0.104744","0.561364","0.623426","1.202668","-0.017879"
"","0.602259","0.137163","0.402297","0.356861","0.676397","0.059626"
"L_FH_8","1.669111","0.029190","1.168010","0.611690","1.674907","0.104793"
"","0.624959","0.165660","0.465518","0.342287","0.728882","0.084713"
"L_FH_9","1.864214","0.231434","1.387036","0.984375","2.302539","0.068871"
"","0.919548","0.225854","0.655142","0.538334","1.118172","0.081249"
"L_FH_10","0.854323","0.441371","0.882355","0.619476","1.466657","0.035174"
"","0.799497","0.220688","0.657481","0.395811","0.967643","0.079864"
"N","","","","","",""
"lincom1_estimate",".1692408",".0875885",".0815898",".1716798",".2337199",".0195496"
"lincom1_p",".5538629",".3263696",".7203623",".3271432",".4856516",".4687993"
"lincom2_estimate",".9256524",".1315029",".7244448",".4515961","1.154759",".0212818"
"lincom2_p",".0134419",".1596361",".0189758",".0132066",".0104641",".4955167"
"ktest_p",".7794023",".4592225",".491102",".9737786",".6421305",".400509"
