"","b/se","b/se","b/se","b/se","b/se","b/se"
"F_FH_10","-0.167960","0.024030","-0.177262","0.050948","-0.115939","0.024402"
"","0.144913","0.093321","0.136758","0.115492","0.144989","0.040530"
"F_FH_9","0.032683","0.004081","-0.188480","0.199358","0.023865","0.037728"
"","0.139893","0.092937","0.138324","0.123122","0.144024","0.030382"
"F_FH_8","-0.050175","0.102525","-0.032802","0.056379","0.011371","0.033264"
"","0.142160","0.093380","0.137241","0.122112","0.151408","0.044097"
"F_FH_7","0.055984","0.022140","-0.051350","0.090138","-0.004850","0.019425"
"","0.134444","0.099767","0.138709","0.122540","0.155973","0.028834"
"F_FH_6","0.126058","0.081608","0.053834","0.126575","0.147950","0.007674"
"","0.112015","0.095876","0.111730","0.110485","0.116721","0.028043"
"F_FH_5","0.080363","0.109642","0.099971","0.059242","0.118349","0.017054"
"","0.115350","0.072744","0.109574","0.098207","0.114686","0.027536"
"F_FH_4","0.021614","0.052067","0.018691","0.106917","0.059508","-0.000056"
"","0.098559","0.062774","0.098040","0.092279","0.102025","0.017712"
"F_FH_3","0.035585","0.070465","-0.018265","0.109739","0.065697","-0.001369"
"","0.098250","0.073581","0.094573","0.087952","0.104780","0.022399"
"F_FH_2","0.007032","0.068615","0.030174","0.045048","0.036403","-0.014613"
"","0.076251","0.054441","0.073724","0.069754","0.078606","0.015877"
"F_FH_1","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"",".",".",".",".",".","."
"L_FH_0","0.006301","-0.018149","-0.074343","0.105875","-0.031158","0.026990"
"","0.076428","0.053327","0.072703","0.073922","0.083812","0.023116"
"L_FH_1","0.132666","0.062049","0.142916","0.065115","0.110175","0.022541"
"","0.089639","0.072162","0.085163","0.082250","0.092069","0.023315"
"L_FH_2","0.279692","-0.002316","0.247660","0.134668","0.271047","-0.011787"
"","0.098191","0.070793","0.102048","0.077792","0.095962","0.023650"
"L_FH_3","0.142254","0.091744","0.180761","0.128277","0.154271","0.031243"
"","0.108557","0.083078","0.095385","0.106059","0.107257","0.031397"
"L_FH_4","0.378658","0.048199","0.281561","0.186522","0.338472","-0.034699"
"","0.102792","0.077045","0.103440","0.079572","0.091791","0.031622"
"L_FH_5","0.284253","0.099211","0.207052","0.204166","0.298253","-0.037077"
"","0.119853","0.101561","0.124562","0.104609","0.121618","0.033824"
"L_FH_6","0.365994","0.046544","0.306548","0.206618","0.297498","0.061206"
"","0.141458","0.088631","0.131633","0.114421","0.125354","0.050416"
"L_FH_7","0.342671","0.103916","0.185825","0.336935","0.268922","0.005100"
"","0.140000","0.096290","0.136154","0.139310","0.144234","0.044572"
"L_FH_8","0.585469","0.065962","0.440286","0.316648","0.418687","0.073249"
"","0.139170","0.112414","0.128005","0.136660","0.138251","0.060480"
"L_FH_9","0.553096","0.112027","0.452917","0.383768","0.480056","0.059680"
"","0.172405","0.123357","0.155818","0.153886","0.163678","0.057305"
"L_FH_10","0.350712","0.241922","0.363219","0.291035","0.384916","0.029272"
"","0.155355","0.111577","0.140990","0.128238","0.140910","0.048741"
"N","","","","","",""
"lincom1_estimate",".0141184",".0535171","-.026549",".0844344",".0342354",".0123509"
"lincom1_p",".8614304",".3667071",".7238588",".2303348",".6721089",".5707469"
"lincom2_estimate",".3110696",".0773735",".2485821",".2145115",".2719218",".0205197"
"lincom2_p",".0003232",".1573072",".0016808",".0020789",".0007303",".3329483"
"ktest_p",".4815612",".6167013",".4269589",".8440232",".6581151",".2863995"
