"","b/se","b/se","b/se","b/se","b/se","b/se"
"F_FH_10","-0.372084","0.076155","-0.392384","0.182741","-0.116597","0.075655"
"","0.292024","0.296578","0.286525","0.250630","0.240324","0.223471"
"F_FH_9","0.139990","-0.044512","-0.409478","0.639380","0.171645","0.118996"
"","0.307110","0.307575","0.305635","0.297716","0.252603","0.173229"
"F_FH_8","-0.157049","0.285828","-0.048471","0.215015","0.122777","0.086895"
"","0.337980","0.313979","0.303349","0.267399","0.270263","0.230985"
"F_FH_7","0.128483","-0.026409","-0.094831","0.291300","0.092385","0.029520"
"","0.288808","0.324756","0.299821","0.303699","0.276992","0.166010"
"F_FH_6","0.210358","0.152348","-0.046560","0.352671","0.196242","-0.015336"
"","0.257530","0.305114","0.251450","0.239693","0.205408","0.150577"
"F_FH_5","0.212620","0.197701","0.208783","0.106466","0.257255","0.013557"
"","0.256043","0.240632","0.237003","0.233753","0.204924","0.132219"
"F_FH_4","-0.024949","0.137078","0.017336","0.254478","0.119619","-0.051202"
"","0.213095","0.210487","0.215281","0.228352","0.173846","0.108226"
"F_FH_3","0.005566","0.272476","-0.124738","0.256004","0.088254","-0.042723"
"","0.231469","0.239432","0.212564","0.209559","0.195526","0.108987"
"F_FH_2","0.035447","0.212115","0.132895","0.064119","0.131971","-0.077695"
"","0.177283","0.192980","0.158399","0.173210","0.143248","0.088402"
"F_FH_1","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"",".",".",".",".",".","."
"L_FH_0","-0.088824","-0.111089","-0.285909","0.313869","-0.118490","0.115232"
"","0.167974","0.173824","0.159043","0.184624","0.142030","0.121137"
"L_FH_1","0.065839","0.197761","0.139912","0.120389","0.080175","0.079934"
"","0.189408","0.230449","0.168213","0.193923","0.152777","0.126002"
"L_FH_2","0.418778","-0.068722","0.403860","0.168102","0.375591","-0.109552"
"","0.202345","0.212270","0.201471","0.180789","0.157410","0.108877"
"L_FH_3","0.096042","0.156171","0.160625","0.160579","0.090694","0.084030"
"","0.200948","0.249200","0.181687","0.240575","0.161416","0.148579"
"L_FH_4","0.590822","0.147280","0.390936","0.349667","0.489754","-0.162673"
"","0.197346","0.241632","0.208552","0.181912","0.143992","0.146013"
"L_FH_5","0.416562","0.183882","0.272528","0.380133","0.425143","-0.111441"
"","0.222019","0.275009","0.241955","0.237344","0.189909","0.157590"
"L_FH_6","0.452734","0.051555","0.378382","0.142292","0.227047","0.204575"
"","0.248524","0.251032","0.245795","0.224235","0.191861","0.189624"
"L_FH_7","0.475908","0.288283","0.059476","0.633279","0.242105","0.062488"
"","0.275589","0.300729","0.263976","0.289538","0.235737","0.180788"
"L_FH_8","0.913844","0.254494","0.628273","0.508787","0.478576","0.221187"
"","0.265285","0.328136","0.237164","0.270950","0.226338","0.227546"
"L_FH_9","0.766225","0.156208","0.701128","0.514603","0.515345","0.277409"
"","0.311600","0.321628","0.300649","0.299135","0.256554","0.231972"
"L_FH_10","0.520642","0.502042","0.492887","0.371985","0.401778","0.115164"
"","0.251718","0.261514","0.220172","0.207776","0.184923","0.156447"
"N","","","","","",""
"lincom1_estimate",".0178382",".1262779","-.0757448",".2362173",".106355",".0137667"
"lincom1_p",".9177902",".5246417",".639762",".1337958",".4468288",".9123159"
"lincom2_estimate",".4207793",".1598059",".3038272",".3330624",".2916106",".0705776"
"lincom2_p",".0051297",".2977251",".0216222",".0152769",".0105159",".3982269"
"ktest_p",".4327133",".8046159",".5129709",".5950812",".8046532",".3531132"
