"","b/se","b/se","b/se","b/se","b/se","b/se"
"F_FH_10","0.110695","2.274832","-1.309175","3.086713","1.280394","-7.383647"
"","3.633279","2.743905","2.967198","1.855461","1.991950","13.142159"
"F_FH_9","1.318708","1.417315","-2.225257","4.438312","1.550213","-5.058411"
"","3.339846","2.619743","2.745287","1.914987","1.900293","11.030991"
"F_FH_8","3.167318","4.608226","2.157096","3.888719","3.353663","-8.413979"
"","4.259250","2.906495","3.581789","2.061706","2.550822","12.166210"
"F_FH_7","2.158826","3.630771","-0.007232","3.707756","2.301276","-7.600437"
"","3.275021","3.291865","2.781693","1.927439","2.085992","10.418063"
"F_FH_6","1.742383","1.360344","0.824974","2.645644","2.098591","-5.868836"
"","2.805689","2.462445","2.516458","1.651464","1.733530","9.035194"
"F_FH_5","3.022452","2.191308","2.078923","1.970876","2.479868","-4.982192"
"","2.534867","1.800166","2.060959","1.412590","1.492568","7.368979"
"F_FH_4","2.565081","2.002793","1.709046","2.446123","2.528098","-7.984316"
"","2.195040","1.820117","2.002115","1.316911","1.391718","6.903725"
"F_FH_3","0.565948","2.827703","-0.530038","2.507129","1.334299","-5.460960"
"","2.014594","1.983033","1.817093","1.302873","1.262105","6.176556"
"F_FH_2","1.107437","2.363498","1.422007","1.199059","1.718474","-4.696639"
"","1.485712","1.423699","1.247353","0.959308","0.897173","5.371783"
"F_FH_1","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
"",".",".",".",".",".","."
"L_FH_0","0.750719","-0.684722","-1.454764","2.001613","0.448756","-2.954662"
"","1.655548","1.262487","1.424487","1.211027","1.034806","4.825174"
"L_FH_1","2.247560","2.045852","2.112595","1.313256","2.089727","-3.811130"
"","1.751776","1.862903","1.604144","1.160889","1.167504","5.707036"
"L_FH_2","4.451026","0.351535","3.084543","1.719181","3.074813","-7.191919"
"","2.024454","1.529856","1.744450","1.100186","1.110512","5.859913"
"L_FH_3","2.291742","1.568054","1.786305","1.892343","2.079509","-5.116772"
"","2.580476","1.931469","1.875503","1.619559","1.401250","7.267800"
"L_FH_4","4.546088","2.306156","3.036295","2.032426","3.150997","-9.965087"
"","2.317069","2.094716","2.287447","1.222598","1.281228","6.608360"
"L_FH_5","2.990968","1.281959","2.694170","2.563053","3.173650","-7.247863"
"","2.686045","2.121517","2.302205","1.606073","1.601742","7.823205"
"L_FH_6","3.912221","-0.327472","2.105030","1.819151","1.964210","2.290147"
"","2.794853","1.620913","2.056141","1.464769","1.537136","4.303033"
"L_FH_7","4.229992","0.625724","1.208519","4.542167","2.966632","-2.616629"
"","4.452047","2.319595","2.579418","2.729484","2.472300","3.184796"
"L_FH_8","9.061551","-0.257893","4.928900","3.266539","4.649430","0.105884"
"","3.857023","1.962168","2.500579","2.064231","2.101827","3.772136"
"L_FH_9","11.277756","0.869125","5.843608","5.142000","6.150993","1.897628"
"","6.030562","2.925378","3.835083","2.876579","3.205428","3.145355"
"L_FH_10","4.008982","2.896887","3.700147","2.118374","3.159652","-1.593352"
"","4.147106","1.988422","2.724867","1.896970","2.140900","2.838898"
"N","","","","","",""
"lincom1_estimate","1.575885","2.267679",".4120345","2.589033","1.864488","-5.744942"
"lincom1_p",".4443526",".1901347",".8086007",".0213918",".1204551",".4610207"
"lincom2_estimate","4.524419",".9704731","2.640486","2.582737","2.99167","-3.29125"
"lincom2_p",".0329625",".3582577",".0741028",".0088315",".0077024",".3293022"
"ktest_p",".85574",".6172012",".5907939",".5904757",".6589176",".9332217"
