"","b/se","b/se","b/se","b/se"
"F_FH_10","-0.976809","0.788124","0.322121","-0.244428"
"","1.294223","0.993629","1.111967","0.937081"
"F_FH_9","-1.415379","0.796916","0.060793","-0.109051"
"","1.348964","0.842421","1.090283","0.773436"
"F_FH_8","-0.161702","0.803209","0.440830","0.129254"
"","1.437102","0.719183","1.146282","0.579710"
"F_FH_7","-0.225657","0.770446","0.495417","0.093777"
"","1.330816","0.718378","1.105714","0.598568"
"F_FH_6","-0.347822","0.978931","0.750334","0.482024"
"","0.951965","0.685351","0.858057","0.489488"
"F_FH_5","-0.413945","1.067843","0.404835","0.780046"
"","0.821466","0.484163","0.689701","0.506676"
"F_FH_4","0.084634","0.671107","0.261075","0.428535"
"","0.724544","0.464488","0.644352","0.410160"
"F_FH_3","-0.162589","0.697770","0.644622","0.177297"
"","0.674135","0.474747","0.650349","0.307115"
"F_FH_2","0.143924","0.356715","0.567749","0.027365"
"","0.408233","0.331443","0.387875","0.330561"
"F_FH_1","0.000000","0.000000","0.000000","0.000000"
"",".",".",".","."
"L_FH_0","0.513986","0.069569","0.397966","-0.203902"
"","0.407362","0.294450","0.406432","0.308927"
"L_FH_1","0.778688","0.538926","0.954183","0.294502"
"","0.580761","0.424649","0.491080","0.466727"
"L_FH_2","0.846794","0.933508","0.718659","0.920007"
"","0.508584","0.457201","0.454836","0.569916"
"L_FH_3","0.979960","0.941401","0.870887","0.594091"
"","0.802314","0.524989","0.660230","0.639133"
"L_FH_4","2.177474","0.303624","2.110553","-0.144008"
"","0.782950","0.513568","0.622119","0.694185"
"L_FH_5","1.943221","1.008358","2.081029","0.266789"
"","0.798146","1.276497","0.605183","1.435795"
"L_FH_6","1.955997","0.863403","0.625321","1.080715"
"","1.019643","0.804134","0.804305","0.890173"
"L_FH_7","4.339171","-0.011668","2.334032","0.162414"
"","1.481171","0.809510","1.239345","0.733945"
"L_FH_8","3.917559","0.321577","2.932819","0.925382"
"","1.430028","1.048300","1.168814","0.906734"
"L_FH_9","4.430760","1.139139","3.733649","1.521159"
"","2.489036","1.008723","1.866391","1.028382"
"L_FH_10","3.208401","0.114448","2.429086","0.840011"
"","1.382793","1.099162","1.388222","1.067880"
"N","","","",""
"lincom1_estimate","-.3475344",".6931061",".3947775",".176482"
"lincom1_p",".6456056",".1542693",".5266915",".6394907"
"lincom2_estimate","2.281092",".5656622","1.74438",".5688327"
"lincom2_p",".0023339",".2752643",".0046677",".2946047"
"ktest_p",".9059484",".7560229",".9329682",".7864245"
