"","b/se","b/se","b/se","b/se"
"F_FH_10","-0.138270","-0.090402","-0.185420","-0.101905"
"","0.320996","0.168016","0.214815","0.213120"
"F_FH_9","-0.140079","0.116676","0.012507","-0.029120"
"","0.371212","0.162925","0.253908","0.194395"
"F_FH_8","0.155118","0.013426","0.053146","-0.050879"
"","0.381731","0.169490","0.272250","0.193837"
"F_FH_7","0.347931","-0.068272","0.217255","-0.165359"
"","0.341947","0.174908","0.255973","0.189190"
"F_FH_6","0.019990","0.145723","0.139477","0.102099"
"","0.251807","0.151861","0.181785","0.167306"
"F_FH_5","0.150962","0.092220","0.093996","0.083498"
"","0.218919","0.140320","0.179574","0.176018"
"F_FH_4","0.260737","-0.047513","0.073687","-0.084448"
"","0.208371","0.121556","0.181804","0.134406"
"F_FH_3","-0.079276","0.101830","0.085974","0.037646"
"","0.216509","0.122147","0.194872","0.130538"
"F_FH_2","0.116626","-0.029634","0.203082","-0.138953"
"","0.137792","0.104771","0.120324","0.117553"
"F_FH_1","0.000000","0.000000","0.000000","0.000000"
"",".",".",".","."
"L_FH_0","0.161679","-0.056833","0.086320","-0.174866"
"","0.132261","0.114080","0.132309","0.123781"
"L_FH_1","0.212899","0.022007","0.204805","-0.082899"
"","0.171862","0.113658","0.155171","0.136337"
"L_FH_2","0.252187","0.211618","0.213446","0.141401"
"","0.174971","0.124972","0.149234","0.153720"
"L_FH_3","0.101894","0.184070","0.073867","0.085663"
"","0.186163","0.138379","0.159620","0.154916"
"L_FH_4","0.489658","0.261487","0.446985","0.173462"
"","0.177906","0.121765","0.144402","0.148162"
"L_FH_5","0.403836","0.218260","0.510153","0.009200"
"","0.200662","0.168233","0.157936","0.205653"
"L_FH_6","0.333850","0.299300","0.113363","0.283149"
"","0.205192","0.171551","0.164933","0.213501"
"L_FH_7","0.633202","0.159271","0.441853","0.071342"
"","0.246212","0.189536","0.186997","0.233715"
"L_FH_8","0.768958","0.247042","0.691278","0.197244"
"","0.242878","0.199003","0.185158","0.246944"
"L_FH_9","0.466145","0.399271","0.688511","0.335149"
"","0.304340","0.214837","0.251176","0.241164"
"L_FH_10","0.467839","0.241424","0.544185","0.187414"
"","0.224337","0.191897","0.189666","0.213179"
"N","","","",""
"lincom1_estimate",".0693739",".0234055",".0693704","-.034742"
"lincom1_p",".727014",".7914698",".5925026",".7377608"
"lincom2_estimate",".390195",".1988106",".3649788",".1114781"
"lincom2_p",".0033301",".0685431",".0004076",".3917538"
"ktest_p",".1003992",".6791091",".574018",".7241271"
