"","b/se","b/se","b/se","b/se"
"F_FH_10","-1.572860","2.311652","-0.476217","1.024166"
"","5.230073","1.955896","3.485226","2.028571"
"F_FH_9","-3.012446","2.672911","0.087457","0.198369"
"","5.585875","1.818195","3.723744","1.821512"
"F_FH_8","6.921853","2.479050","4.065616","0.938616"
"","7.740263","1.861863","5.297609","1.669352"
"F_FH_7","4.232102","1.637206","2.808234","0.073665"
"","6.173630","1.880958","4.259469","1.653745"
"F_FH_6","0.134770","2.198555","1.572933","0.791049"
"","4.697113","1.652073","3.403445","1.393874"
"F_FH_5","1.260656","2.126552","1.769526","1.461026"
"","3.415521","1.434848","2.838799","1.490833"
"F_FH_4","4.334099","0.659197","2.746260","0.138522"
"","3.449032","1.280367","2.699725","1.121973"
"F_FH_3","0.211253","1.072433","2.362034","-0.336961"
"","3.308124","1.125357","2.508559","0.896640"
"F_FH_2","2.147121","0.815705","2.701062","-0.113960"
"","1.952318","0.923655","1.562483","0.927767"
"F_FH_1","0.000000","0.000000","0.000000","0.000000"
"",".",".",".","."
"L_FH_0","1.355942","0.312678","0.714286","-0.807683"
"","1.913219","1.172421","1.905342","1.021091"
"L_FH_1","2.015400","1.336457","2.537909","0.261651"
"","2.697252","1.166281","2.222500","1.069307"
"L_FH_2","1.755667","2.167397","1.783073","1.470843"
"","2.299000","1.210484","1.966947","1.541531"
"L_FH_3","2.299021","1.654427","2.017592","0.350513"
"","3.406014","1.215130","2.790096","1.402797"
"L_FH_4","6.594083","1.038238","5.987576","-0.235909"
"","2.888215","1.281089","2.319686","1.208435"
"L_FH_5","4.767685","1.276747","5.992559","-1.270188"
"","3.160190","1.822209","2.411304","1.920824"
"L_FH_6","4.341440","0.750967","0.507493","0.902392"
"","3.892610","1.568629","2.997513","1.888749"
"L_FH_7","13.998603","-1.118836","6.126606","-0.597226"
"","6.540574","1.833111","4.842765","1.806290"
"L_FH_8","10.021080","0.238170","7.464456","0.681916"
"","4.124273","2.331605","3.219616","2.674550"
"L_FH_9","10.430712","1.682119","11.463697","1.114706"
"","7.334278","2.404079","5.448103","2.608718"
"L_FH_10","5.350736","0.177427","5.518144","0.232750"
"","4.141445","1.679739","3.521449","1.665943"
"N","","","",""
"lincom1_estimate","1.465655","1.597326","1.763691",".4174493"
"lincom1_p",".6607744",".1344966",".4071479",".6879585"
"lincom2_estimate","5.720943",".8650718","4.555763",".1912513"
"lincom2_p",".0245336",".3737528",".0159255",".8588704"
"ktest_p",".4301616",".9055659",".7836216",".9383187"
