="",="Male IHS",="Female IHS",="White IHS",="Nonwhite IHS",="LowEdu IHS",="HighEdu IHS"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="F_FH_10",="-0.2113",="0.0449",="-0.1356",="0.0216",="-0.2212",="0.0002"
="",="(0.1377)",="(0.1228)",="(0.1452)",="(0.0415)",="(0.1472)",="(0.0943)"
="F_FH_9",="-0.1718",="0.1625",="0.0046",="0.0438",="-0.0201",="0.0020"
="",="(0.1523)",="(0.1354)",="(0.1550)",="(0.0337)",="(0.1591)",="(0.1033)"
="F_FH_8",="-0.0174",="0.0548",="0.0228",="0.0375",="-0.0415",="0.1046"
="",="(0.1350)",="(0.1227)",="(0.1480)",="(0.0444)",="(0.1420)",="(0.0925)"
="F_FH_7",="-0.0778",="0.1107",="-0.0002",="0.0179",="0.0457",="0.0391"
="",="(0.1453)",="(0.1322)",="(0.1655)",="(0.0313)",="(0.1431)",="(0.1098)"
="F_FH_6",="0.0035",="0.1365",="0.0999",="0.0124",="0.1191",="0.0882"
="",="(0.1211)",="(0.1241)",="(0.1279)",="(0.0317)",="(0.1255)",="(0.1090)"
="F_FH_5",="0.0432",="0.0448",="0.0843",="0.0218",="0.0408",="0.1480*"
="",="(0.1235)",="(0.1161)",="(0.1290)",="(0.0344)",="(0.1385)",="(0.0835)"
="F_FH_4",="0.0043",="0.0963",="0.0234",="0.0020",="-0.0184",="0.0694"
="",="(0.1082)",="(0.1032)",="(0.1112)",="(0.0205)",="(0.1084)",="(0.0725)"
="F_FH_3",="-0.0080",="0.1113",="0.0818",="-0.0031",="0.0432",="0.0713"
="",="(0.0991)",="(0.0945)",="(0.1101)",="(0.0243)",="(0.1046)",="(0.0773)"
="F_FH_2",="0.0450",="0.0393",="0.0446",="-0.0173",="-0.0046",="0.0935"
="",="(0.0846)",="(0.0809)",="(0.0902)",="(0.0184)",="(0.0879)",="(0.0605)"
="F_FH_1",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="L_FH_0",="-0.0936",="0.1057",="-0.0435",="0.0312",="-0.0037",="-0.0215"
="",="(0.0749)",="(0.0765)",="(0.0852)",="(0.0235)",="(0.0797)",="(0.0548)"
="L_FH_1",="0.1177",="0.0637",="0.0928",="0.0269",="0.1192",="0.0609"
="",="(0.0838)",="(0.0814)",="(0.0883)",="(0.0236)",="(0.0874)",="(0.0710)"
="L_FH_2",="0.2348**",="0.1381*",="0.2661***",="-0.0075",="0.2772***",="0.0014"
="",="(0.0952)",="(0.0747)",="(0.0895)",="(0.0233)",="(0.0917)",="(0.0706)"
="L_FH_3",="0.1675*",="0.1319",="0.1492",="0.0344",="0.1397",="0.0948"
="",="(0.0925)",="(0.1035)",="(0.1040)",="(0.0309)",="(0.1059)",="(0.0819)"
="L_FH_4",="0.2642**",="0.1851**",="0.3258***",="-0.0316",="0.3687***",="0.0527"
="",="(0.1042)",="(0.0793)",="(0.0919)",="(0.0313)",="(0.1013)",="(0.0784)"
="L_FH_5",="0.1880",="0.2029*",="0.2845**",="-0.0347",="0.2739**",="0.1023"
="",="(0.1229)",="(0.1053)",="(0.1212)",="(0.0333)",="(0.1193)",="(0.0985)"
="L_FH_6",="0.2551**",="0.1923*",="0.2547**",="0.0599",="0.3288**",="0.0337"
="",="(0.1257)",="(0.1105)",="(0.1196)",="(0.0503)",="(0.1358)",="(0.0879)"
="L_FH_7",="0.1292",="0.3189**",="0.2203",="0.0062",="0.3014**",="0.0950"
="",="(0.1330)",="(0.1442)",="(0.1440)",="(0.0450)",="(0.1364)",="(0.1032)"
="L_FH_8",="0.3779***",="0.2949**",="0.3655**",="0.0722",="0.5384***",="0.0523"
="",="(0.1301)",="(0.1448)",="(0.1503)",="(0.0591)",="(0.1506)",="(0.1098)"
="L_FH_9",="0.4051***",="0.3689**",="0.4399***",="0.0590",="0.5151***",="0.1104"
="",="(0.1491)",="(0.1435)",="(0.1542)",="(0.0556)",="(0.1610)",="(0.1169)"
="L_FH_10",="0.3098**",="0.2742***",="0.3458***",="0.0264",="0.3069**",="0.2477**"
="",="(0.1238)",="(0.1043)",="(0.1177)",="(0.0457)",="(0.1338)",="(0.1034)"
="N",="",="",="",="",="",=""
