="",="Distressed",="Non-distressed",="Low MDI",="High MDI"
="",="b/se",="b/se",="b/se",="b/se"
="F_FH_10",="-0.2039",="-0.1563",="-0.2304",="-0.1257"
="",="(0.2873)",="(0.1671)",="(0.2099)",="(0.2122)"
="F_FH_9",="-0.3092",="0.1084",="-0.1646",="-0.0016"
="",="(0.3916)",="(0.1685)",="(0.2878)",="(0.2068)"
="F_FH_8",="0.0638",="0.0103",="0.0239",="-0.0219"
="",="(0.3697)",="(0.1662)",="(0.2685)",="(0.1895)"
="F_FH_7",="0.2200",="-0.0710",="0.1680",="-0.1447"
="",="(0.3336)",="(0.1949)",="(0.2515)",="(0.2197)"
="F_FH_6",="-0.1947",="0.1199",="0.0621",="0.0812"
="",="(0.3261)",="(0.1554)",="(0.2269)",="(0.1744)"
="F_FH_5",="0.0262",="0.0861",="-0.0550",="0.1248"
="",="(0.2445)",="(0.1622)",="(0.2177)",="(0.1964)"
="F_FH_4",="0.1457",="-0.0630",="0.0063",="-0.1124"
="",="(0.2263)",="(0.1354)",="(0.1884)",="(0.1507)"
="F_FH_3",="-0.1082",="0.1312",="0.0649",="0.0843"
="",="(0.2324)",="(0.1264)",="(0.2013)",="(0.1351)"
="F_FH_2",="0.1135",="-0.0112",="0.1972",="-0.1015"
="",="(0.1773)",="(0.1122)",="(0.1481)",="(0.1281)"
="F_FH_1",="0.0000",="0.0000",="0.0000",="0.0000"
="",="(.)",="(.)",="(.)",="(.)"
="L_FH_0",="0.1309",="-0.0572",="0.0511",="-0.1625"
="",="(0.1375)",="(0.1137)",="(0.1347)",="(0.1238)"
="L_FH_1",="0.1803",="0.0213",="0.1544",="-0.0750"
="",="(0.1605)",="(0.1134)",="(0.1456)",="(0.1367)"
="L_FH_2",="0.2457",="0.2129*",="0.2141*",="0.1395"
="",="(0.1595)",="(0.1229)",="(0.1293)",="(0.1508)"
="L_FH_3",="0.0901",="0.1859",="0.0625",="0.0830"
="",="(0.1791)",="(0.1366)",="(0.1537)",="(0.1553)"
="L_FH_4",="0.4710**",="0.2636**",="0.4185***",="0.1639"
="",="(0.1856)",="(0.1191)",="(0.1475)",="(0.1507)"
="L_FH_5",="0.3711*",="0.2200",="0.4907***",="-0.0079"
="",="(0.2031)",="(0.1689)",="(0.1596)",="(0.2093)"
="L_FH_6",="0.2580",="0.2925*",="0.0611",="0.2423"
="",="(0.1803)",="(0.1685)",="(0.1592)",="(0.2152)"
="L_FH_7",="0.5815**",="0.1394",="0.3531**",="0.0169"
="",="(0.2339)",="(0.2009)",="(0.1770)",="(0.2558)"
="L_FH_8",="0.7170***",="0.2151",="0.6001***",="0.1316"
="",="(0.2673)",="(0.2076)",="(0.2125)",="(0.2705)"
="L_FH_9",="0.3893",="0.3836*",="0.6253***",="0.2748"
="",="(0.2611)",="(0.2133)",="(0.2320)",="(0.2557)"
="L_FH_10",="0.3799**",="0.2380",="0.4716***",="0.1187"
="",="(0.1640)",="(0.1853)",="(0.1482)",="(0.2018)"
="N",="",="",="",=""
